2017-05-28,16568
2017-05-29,16416
2017-05-30,14954
2017-05-31,19865
2017-06-01,19483
2017-06-02,20007
2017-06-03,18706
2017-06-04,17330
2017-06-05,20466
2017-06-06,20195
2017-06-07,19889
2017-06-08,19950
2017-06-09,19561
2017-06-10,18126
2017-06-11,16735
2017-06-12,20058
2017-06-13,20361
2017-06-14,20084
2017-06-15,19986
2017-06-16,19638
2017-06-17,18060
2017-06-18,16793
2017-06-19,20168
2017-06-20,19903
2017-06-21,20567
2017-06-22,20215
2017-06-23,19928
2017-06-24,18129
2017-06-25,16613
2017-06-26,19752
2017-06-27,19494
2017-06-28,19340
2017-06-29,19243
2017-06-30,18711
2017-07-01,17439
2017-07-02,16335
2017-07-03,19449
2017-07-04,19357
2017-07-05,18731
2017-07-06,18659
2017-07-07,18515
2017-07-08,16984
2017-07-09,15590
2017-07-10,18608
2017-07-11,18483
2017-07-12,18182
2017-07-13,18302
2017-07-14,18163
2017-07-15,16638
2017-07-16,15188
2017-07-17,18766
2017-07-18,18719
2017-07-19,18405
2017-07-20,18084
2017-07-21,17213
2017-07-22,15527
2017-07-23,14298
2017-07-24,17489
2017-07-25,17440
2017-07-26,17144
2017-07-27,17038
2017-07-28,16670
2017-07-29,15110
2017-07-30,13585
2017-07-31,16392
2017-08-01,16181
2017-08-02,16283
2017-08-03,15964
2017-08-04,15937
2017-08-05,14198
2017-08-06,12715
2017-08-07,15686
2017-08-08,15544
2017-08-09,15507
2017-08-10,15260
2017-08-11,15117
2017-08-12,13712
2017-08-13,12274
2017-08-14,15121
2017-08-15,14944
2017-08-16,14957
2017-08-17,14785
2017-08-18,14543
2017-08-19,13190
2017-08-20,12066
2017-08-21,14680
2017-08-22,14730
2017-08-23,14665
2017-08-24,14484
2017-08-25,14350
2017-08-26,12805
2017-08-27,11845
2017-08-28,13982
2017-08-29,14175
2017-08-30,14014
2017-08-31,13659
2017-09-01,13307
2017-09-02,12199
2017-09-03,11274
2017-09-04,13934
2017-09-05,13983
2017-09-06,15413
2017-09-07,14255
2017-09-08,13664
2017-09-09,12268
2017-09-10,11139
2017-09-11,13763
2017-09-12,13839
2017-09-13,13685
2017-09-14,13682
2017-09-15,13446
2017-09-16,12174
2017-09-17,11074
2017-09-18,13909
2017-09-19,13978
2017-09-20,13823
2017-09-21,13779
2017-09-22,13517
2017-09-23,12129
2017-09-24,11068
2017-09-25,13540
2017-09-26,13557
2017-09-27,13182
2017-09-28,12829
2017-09-29,12189
2017-09-30,11141
2017-10-01,8114
2017-10-02,8924
2017-10-03,8909
2017-10-04,7691
2017-10-05,10091
2017-10-06,10608
2017-10-07,10855
2017-10-08,10432
2017-10-09,12307
2017-10-10,12326
2017-10-11,12670
2017-10-12,12296
2017-10-13,12207
2017-10-14,11048
2017-10-15,9965
2017-10-16,12211
2017-10-17,12416
2017-10-18,12373
2017-10-19,12147
2017-10-20,11723
2017-10-21,10550
2017-10-22,9592
2017-10-23,12298
2017-10-24,12080
2017-10-25,12051
2017-10-26,11770
2017-10-27,11586
2017-10-28,10132
2017-10-29,9064
2017-10-30,11726
2017-10-31,11582
2017-11-01,11016
2017-11-02,10969
2017-11-03,10760
2017-11-04,9662
2017-11-05,8690
2017-11-06,11554
2017-11-07,11482
2017-11-08,11571
2017-11-09,11347
2017-11-10,11418
2017-11-11,11630
2017-11-12,9955
2017-11-13,11889
2017-11-14,11542
2017-11-15,11482
2017-11-16,11473
2017-11-17,11222
2017-11-18,9777
2017-11-19,8593
2017-11-20,11066
2017-11-21,11111
2017-11-22,11035
2017-11-23,10807
2017-11-24,10300
2017-11-25,9576
2017-11-26,8213
2017-11-27,11161
2017-11-28,11123
2017-11-29,11341
2017-11-30,10993
2017-12-01,10580
2017-12-02,9454
2017-12-03,8217
2017-12-04,11130
2017-12-05,10943
2017-12-06,11061
2017-12-07,11015
2017-12-08,10695
2017-12-09,9385
2017-12-10,8112
2017-12-11,11183
2017-12-12,11846
2017-12-13,11243
2017-12-14,11125
2017-12-15,10808
2017-12-16,9277
2017-12-17,7918
2017-12-18,10758
2017-12-19,10944
2017-12-20,11180
2017-12-21,10687
2017-12-22,10415
2017-12-23,9305
2017-12-24,7953
2017-12-25,10685
2017-12-26,10995
2017-12-27,10875
2017-12-28,11277
2017-12-29,10643
2017-12-30,9263
2017-12-31,7653
2018-01-01,7292
2018-01-02,11732
2018-01-03,11780
2018-01-04,11880
2018-01-05,11718
2018-01-06,10583
2018-01-07,9329
2018-01-08,12116
2018-01-09,11659
2018-01-10,11636
2018-01-11,11599
2018-01-12,11329
2018-01-13,9997
2018-01-14,8968
2018-01-15,12057
2018-01-16,12129
2018-01-17,12281
2018-01-18,12293
2018-01-19,12047
2018-01-20,10859
2018-01-21,9487
2018-01-22,12265
2018-01-23,12157
2018-01-24,11903
2018-01-25,11591
2018-01-26,11419
2018-01-27,9969
2018-01-28,8796
2018-01-29,11046
2018-01-30,10853
2018-01-31,10322
2018-02-01,10215
2018-02-02,9861
2018-02-03,8580
2018-02-04,6974
2018-02-05,8745
2018-02-06,7974
2018-02-07,7555
2018-02-08,7028
2018-02-09,6638
2018-02-10,5626
2018-02-11,5534
2018-02-12,5442
2018-02-13,4811
2018-02-14,4166
2018-02-15,3298
2018-02-16,3750
2018-02-17,4164
2018-02-18,4489
2018-02-19,5147
2018-02-20,5833
2018-02-21,6629
2018-02-22,8807
2018-02-23,10847
2018-02-24,11617
2018-02-25,11120
2018-02-26,13380
2018-02-27,14139
2018-02-28,14048
2018-03-01,14245
2018-03-02,13475
2018-03-03,13121
2018-03-04,12556
2018-03-05,15862
2018-03-06,15784
2018-03-07,15995
2018-03-08,15556
2018-03-09,15642
2018-03-10,14156
2018-03-11,12837
2018-03-12,16449
2018-03-13,16725
2018-03-14,16731
2018-03-15,16900
2018-03-16,16482
2018-03-17,14866
2018-03-18,13194
2018-03-19,16882
2018-03-20,16699
2018-03-21,16464
2018-03-22,16110
2018-03-23,16020
2018-03-24,14471
2018-03-25,12980
2018-03-26,16863
2018-03-27,16955
2018-03-28,18155
2018-03-29,17261
2018-03-30,17014
2018-03-31,15189
2018-04-01,13509
2018-04-02,17298
2018-04-03,17437
2018-04-04,16712
2018-04-05,13164
2018-04-06,14646
2018-04-07,14726
2018-04-08,16358
2018-04-09,17476
2018-04-10,17585
2018-04-11,17597
2018-04-12,17859
2018-04-13,17398
2018-04-14,15467
2018-04-15,13857
2018-04-16,17369
2018-04-17,17404
2018-04-18,17494
2018-04-19,17743
2018-04-20,17366
2018-04-21,15690
2018-04-22,14383
2018-04-23,18203
2018-04-24,17895
2018-04-25,17738
2018-04-26,17565
2018-04-27,17339
2018-04-28,16289
2018-04-29,13879
2018-04-30,13228
2018-05-01,12311
2018-05-02,17751
2018-05-03,17877
2018-05-04,17547
2018-05-05,16168
2018-05-06,14752
2018-05-07,18114
2018-05-08,18056
2018-05-09,18011
2018-05-10,17785
2018-05-11,17383
2018-05-12,15703
2018-05-13,13783
2018-05-14,18217
2018-05-15,18430
2018-05-16,18421
2018-05-17,18580
2018-05-18,18185
2018-05-19,16415
2018-05-20,14483
2018-05-21,18579
2018-05-22,18431
2018-05-23,18228
2018-05-24,18553
2018-05-25,17876
2018-05-26,15893
2018-05-27,14416
2018-05-28,18312
